City,Status,FSA,Neighborhood,UP2,Collections,Address,Mint Price,Last Price,Owner EOS,Owner,Ownership Changed At,Currency,Markup,Structure,Structure Name,Yield Per Month,Yield Per Month (Max),Property ID,Sale Price,Price Per UP2
Sao Paulo,For sale,FALSE,ITAIM BIBI,26,[],"AVENIDA JURUBATUBA, 478",6734,6734,liqqrn5yqcyg,pils,2023-02-23T17:09:09.500Z,UPX,252,,,"81,45",No boost,41328042125508,16999,"653,8076923"
Sao Paulo,Owned,FALSE,ITAIM BIBI,26,[],"AVENIDA JURUBATUBA, 470",6734,8140,odr1hedarhpi,scientist,2023-03-06T15:42:25.000Z,,,,,"81,45",No boost,41328008571072,,
Sao Paulo,For sale,FALSE,ITAIM BIBI,26,[],"RUA FRANCISCO DIAS VELHO, 1143",6734,6734,liqqrn5yqcyg,pils,2023-02-23T17:05:03.500Z,UPX,297,,,"81,45",No boost,41327907907800,19998,"769,1538462"
Sao Paulo,Owned,FALSE,ITAIM BIBI,26,[],"RUA NOVA YORK, 244",6734,6734,gnnymcicdwkm,kramerica,2023-02-23T17:03:08.500Z,,,,,"81,45",No boost,41327857576428,,
Sao Paulo,Owned,FALSE,ITAIM BIBI,26,[],"RUA ARIZONA, 334",6734,6734,ydnhueklafh1,jariasson,2023-03-05T20:14:28.000Z,,,,,"81,45",No boost,41327505254859,,
Sao Paulo,Owned,FALSE,ITAIM BIBI,26,[],"AVENIDA PORTUGAL, 915",6734,8507,jujivzh5rth2,joni03x,2023-03-11T18:59:13.500Z,,,,,"81,45",No boost,41327303928364,,
Sao Paulo,Owned,TRUE,ITAIM BIBI,26,[],"RUA NICOLAU BARRETO, 714",6734,6734,xejbpwwbhzkz,k31yyj,2023-03-23T12:19:00.000Z,,,,,"81,45",No boost,41326918051962,,
Sao Paulo,Owned,FALSE,ITAIM BIBI,26,[],"RUA ROQUE PETRELLA, 914",6734,4990,gwairlrilytb,uplandinger,2023-03-03T21:05:50.500Z,,,,,"81,45",No boost,41326867720448,,
Sao Paulo,Owned,FALSE,ITAIM BIBI,26,[],"RUA BARTOLOMEU FEIO, 544",6734,6734,yjhylqjgjtni,remmy11,2023-03-04T12:34:03.000Z,,,,,"81,45",No boost,41326733502861,,
Sao Paulo,Owned,TRUE,ITAIM BIBI,26,[],"RUA BARTOLOMEU FEIO, 534",6734,9500,ahfzyxq2nuhi,richarlli,2023-03-20T16:13:55.500Z,,,,,"81,45",No boost,41326699948432,,
Sao Paulo,Owned,TRUE,ITAIM BIBI,26,[],"RUA BARTOLOMEU FEIO, 514B",6734,6734,hdk12ticiseu,anna_upland,2023-04-08T00:11:06.000Z,,,,,"81,45",No boost,41326666394003,,
Sao Paulo,Owned,FALSE,ITAIM BIBI,26,[],"RUA ALVARO RODRIGUES, 978",6734,4250,q2zjxsmmpvdn,mikehawkfitz,2023-03-09T16:12:25.500Z,,,,,"81,45",No boost,41326666393807,,
Sao Paulo,Owned,FALSE,ITAIM BIBI,26,[],"RUA GEORGE ADE, 50A",6734,4000,evetlzo4dppm,siriempire,2023-03-23T12:59:33.500Z,,,,,"81,45",No boost,41326632839759,,
Sao Paulo,For sale,TRUE,ITAIM BIBI,26,[],"RUA GUINE, 11",6734,6734,yqk43ghv2sty,rene31,2023-03-25T08:40:45.000Z,UPX,132,,,"81,45",No boost,41326582507954,8900,"342,3076923"
Sao Paulo,Owned,TRUE,ITAIM BIBI,26,[],"RUA GABRIEL DE LARA, 285A",6734,6734,rdqa2incd2w5,lilfoda,2023-03-27T06:38:35.500Z,,,,,"81,45",No boost,41326515398914,,
Sao Paulo,Owned,TRUE,ITAIM BIBI,26,[],"RUA GUINE, 3",6734,6734,yqk43ghv2sty,rene31,2023-03-25T08:40:05.000Z,,,,,"81,45",No boost,41326481844654,,
Sao Paulo,Owned,TRUE,ITAIM BIBI,26,[],"RUA MICHIGAN, 79B",6734,6734,wmzda1sic2fp,guitamarozzi,2023-04-07T12:32:35.000Z,,,,,"81,45",No boost,41326431513142,,
Sao Paulo,For sale,FALSE,ITAIM BIBI,26,[],"RUA GUINE, 2",6734,9500,mbb5grqzxyet,caliari,2023-03-11T21:31:20.000Z,USD,149,,,"81,45",No boost,41326397958581,10,"0,3846153846"
Sao Paulo,Owned,TRUE,ITAIM BIBI,26,[],"RUA DOUTOR NELSON LIBERO, 94",6734,6734,bzwvzprphovl,ownermob,2023-04-08T22:11:33.500Z,,,,,"81,45",No boost,41326381181486,,
Sao Paulo,Owned,FALSE,ITAIM BIBI,26,[],"RUA TUPACINUNGA, 43",6734,6734,aztgctgywman,brynnstoner,2023-02-23T17:04:46.500Z,,,,,"81,45",No boost,41326263740737,,
Sao Paulo,Owned,FALSE,ITAIM BIBI,26,[],"RUA ALVARO RODRIGUES, 796B",6734,3750,xpr4gpe2vpz5,akite,2023-03-18T17:21:36.000Z,,,,,"81,45",No boost,41326196631797,,
Sao Paulo,Owned,FALSE,ITAIM BIBI,26,[],"RUA ROQUE PETRELLA, 706",6734,6734,oxaaygyzujff,m1gu3lg4m3r,2023-02-23T17:02:48.000Z,,,,,"81,45",No boost,41326163077433,,
Sao Paulo,Owned,FALSE,ITAIM BIBI,26,[],"TRAVESSA ANDREA ADOLFATI, 6A",6734,6800,ewz5iu2qo33f,jh2271,2023-03-08T23:58:48.000Z,,,,,"81,45",No boost,41326129522905,,
Sao Paulo,Owned,FALSE,ITAIM BIBI,26,[],"RUA MIGUEL SUTIL, 102",6734,6734,c5xwjzv4i4wf,phesi,2023-02-23T17:06:07.000Z,,,,,"81,45",No boost,41326028859552,,
Sao Paulo,Owned,FALSE,ITAIM BIBI,26,[],"RUA MIGUEL SUTIL, 100B",6734,6734,c5xwjzv4i4wf,phesi,2023-02-23T17:05:25.500Z,,,,,"81,45",No boost,41325961750685,,
Sao Paulo,For sale,TRUE,ITAIM BIBI,26,[],"RUA FRANCISCO DIAS VELHO, 478",6734,6734,lxlw3mvcf34o,uplander94,2023-04-10T11:36:08.000Z,UPX,312,,,"81,45",No boost,41325928196493,20999,"807,6538462"
Sao Paulo,Owned,FALSE,ITAIM BIBI,26,[],"RUA MIGUEL SUTIL, 82",6734,6734,z1gxhs1yb1ko,itibereg,2023-03-09T13:24:00.500Z,,,,,"81,45",No boost,41325877864602,,
Sao Paulo,Owned,FALSE,ITAIM BIBI,26,[],"AVENIDA PORTUGAL, 1269A",6734,6734,ttknw4siv5wt,beaker,2023-02-23T17:09:08.500Z,,,,,"81,45",No boost,41325844310502,,
Sao Paulo,Owned,FALSE,ITAIM BIBI,26,[],"RUA BALTAZAR FERNANDES, 311",6734,6734,c5xwjzv4i4wf,phesi,2023-02-23T17:04:54.000Z,,,,,"81,45",No boost,41325827532922,,
Sao Paulo,Owned,FALSE,ITAIM BIBI,26,[],"RUA OSCAR GOMES CARDIM, 386",6734,8800,mropq4wrg43d,rinteg98,2023-02-23T18:45:57.000Z,,,,,"81,45",No boost,41325793978804,,
Sao Paulo,Owned,TRUE,ITAIM BIBI,26,[],"RUA JOAO AMARO, 97B",6734,6734,vgicmnn3qnur,parabellum,2023-02-24T14:25:56.500Z,,,processing,iwzpfunivool,"81,45",No boost,41325793978547,,
Sao Paulo,For sale,FALSE,ITAIM BIBI,26,[],"RUA JOAO AMARO, 97A",6734,7000,jlbes1giyivc,visio1245,2023-02-24T14:51:06.000Z,UPX,208,,,"81,45",No boost,41325760424113,14000,"538,4615385"
Sao Paulo,Owned,FALSE,ITAIM BIBI,26,[],"RUA JOAO AMARO, 89",6734,6734,fmeehloiauuu,bluemonster,2023-02-23T17:05:25.500Z,,,,,"81,45",No boost,41325726869680,,
Sao Paulo,Owned,FALSE,ITAIM BIBI,26,[],"RUA ALVARO RODRIGUES, 715",6734,3500,sb4iw5ejdrva,yogamama,2023-03-31T18:20:42.000Z,,,,,"81,45",No boost,41325676538122,,
Sao Paulo,Owned,TRUE,ITAIM BIBI,26,[],"RUA PASCOAL PAIS, 275",6734,6734,kkg2c5r34tis,afcxa3,2023-03-04T13:59:16.500Z,,,,,"81,45",No boost,41325642983790,,
Sao Paulo,For sale,TRUE,ITAIM BIBI,26,[],"RUA GODOI COLACO, 200",6734,7450,tzp1g4o5agu1,uppitypup,2023-03-31T06:39:42.000Z,UPX,134,,,"81,45",No boost,41325559097620,8999,"346,1153846"
Sao Paulo,Owned,TRUE,ITAIM BIBI,26,[],"RUA ROQUE PETRELLA, 573B",6734,6734,xyh2t5m31sky,sandy74,2023-04-04T05:26:22.500Z,,,,,"81,45",No boost,41325391325522,,
Sao Paulo,For sale,FALSE,ITAIM BIBI,26,[],"RUA NICOLAU BARRETO, 258",6734,6734,nlwmzyxs3ws2,daringsdaddy,2023-02-23T17:06:51.000Z,USD,82,,,"81,45",No boost,41325357770999,"5,5","0,2115384615"
Sao Paulo,Owned,FALSE,ITAIM BIBI,26,[],"RUA NICOLAU BARRETO, 250B",6734,10000,a1d5hg3wsul4,bluewhale21,2023-02-23T17:14:46.500Z,,,,,"81,45",No boost,41325324216570,,
Sao Paulo,For sale,FALSE,ITAIM BIBI,26,[],"RUA ROQUE PETRELLA, 475",6734,9000,qktkskg4l2z2,eksongj9182,2023-03-02T23:51:18.000Z,UPX,245,,,"81,45",No boost,41325223553390,16500,"634,6153846"
